source_record_id,source_file,library_id,name,address,geocode_provider,geocode_query,geocode_result_label,latitude,longitude,confidence,review_status,notes
dpl_location_0036,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_001_0036,Mobile Service Point 001,"RWA Pocket-2, Near Mayur Vihar Police Station, Mayur Vihar, Phase I, Delhi",,"RWA Pocket-2, Near Mayur Vihar Police Station, Mayur Vihar, Phase I, Delhi, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0037,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_002_0037,Mobile Service Point 002,"The East End Apartments, Mayur Vihar-I, Near New Ashok Nagar Metro Station, Delhi",,"The East End Apartments, Mayur Vihar-I, Near New Ashok Nagar Metro Station, Delhi, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0038,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_003_0038,Mobile Service Point 003,"DDA Flats, Near Batra Cinema, Mukherji Nagar, Delhi",,"DDA Flats, Near Batra Cinema, Mukherji Nagar, Delhi, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0039,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_004_0039,Mobile Service Point 004,"Near Shalimar Park, Main Road, Model Town Pt-II, Delhi",,"Near Shalimar Park, Main Road, Model Town Pt-II, Delhi, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0040,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_005_0040,Mobile Service Point 005,"Arya Samaj Road, B-Block, Near Meerut Sweets, Main Road, Majlis Park, Delhi-33",,"Arya Samaj Road, B-Block, Near Meerut Sweets, Main Road, Majlis Park, Delhi-33, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0041,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_006_0041,Mobile Service Point 006,"Opp. Amar Farm, East Gokul Pur, Delhi",,"Opp. Amar Farm, East Gokul Pur, Delhi, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0042,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_007_0042,Mobile Service Point 007,"Opp.Tyagi Dairy, Mandoli Road, Ashok Nagar, Delhi-94",,"Opp.Tyagi Dairy, Mandoli Road, Ashok Nagar, Delhi-94, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0043,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_008_0043,Mobile Service Point 008,"Residential Quarter, Z Block (4 Storeyed Quarter), Timar Pur, Delhi-54",,"Residential Quarter, Z Block (4 Storeyed Quarter), Timar Pur, Delhi-54, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0044,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_009_0044,Mobile Service Point 009,"Delhi Administrative Colony, Timar Pur, Delhi-54",,"Delhi Administrative Colony, Timar Pur, Delhi-54, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0045,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_010_0045,Mobile Service Point 010,"Near Bloom Field Public School, DDA Flats, Dilshad Garden, Delhi-93",,"Near Bloom Field Public School, DDA Flats, Dilshad Garden, Delhi-93, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0046,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_011_0046,Mobile Service Point 011,"Near Sports Complex, Janta Flats, Guru Teg Bahadur Enclave, Delhi-93",,"Near Sports Complex, Janta Flats, Guru Teg Bahadur Enclave, Delhi-93, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0047,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_012_0047,Mobile Service Point 012,"Near Rath Wala Mandir, Main Road, Yamuna Vihar, Delhi-53",,"Near Rath Wala Mandir, Main Road, Yamuna Vihar, Delhi-53, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0048,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_013_0048,Mobile Service Point 013,"Near Birla Mil Staff Quarters, Kamla Nagar, Delhi-07",,"Near Birla Mil Staff Quarters, Kamla Nagar, Delhi-07, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0049,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_014_0049,Mobile Service Point 014,"Near Govt. Girls Sr. Sec. School, Nagia Park, Shakti Nagar, Delhi-07",,"Near Govt. Girls Sr. Sec. School, Nagia Park, Shakti Nagar, Delhi-07, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0050,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_015_0050,Mobile Service Point 015,"Near DDA Flats, Ashok Vihar, Delhi",,"Near DDA Flats, Ashok Vihar, Delhi, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0051,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_016_0051,Mobile Service Point 016,"CRPF Camp, Mayur Vihar-III, Delhi",,"CRPF Camp, Mayur Vihar-III, Delhi, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0052,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_017_0052,Mobile Service Point 017,Near church block 13 Trilokpuri Delhi.,,"Near church block 13 Trilokpuri Delhi., India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0053,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_018_0053,Mobile Service Point 018,Opposite to D7 market Vishram Chowk Sector 5 Delhi.,,"Opposite to D7 market Vishram Chowk Sector 5 Delhi., India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0054,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_019_0054,Mobile Service Point 019,Govt. Co-ed. Senior secondary school Shahbad dairy Near Sant Javiour school Main road Delhi-110042,,"Govt. Co-ed. Senior secondary school Shahbad dairy Near Sant Javiour school Main road Delhi-110042, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0055,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_020_0055,Mobile Service Point 020,Opposite Gomti appartment gate Kalkaji extension New Delhi.,,"Opposite Gomti appartment gate Kalkaji extension New Delhi., India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0056,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_021_0056,Mobile Service Point 021,Gate no. 1 Najeevan Vihar Delhi,,"Gate no. 1 Najeevan Vihar Delhi, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0057,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_022_0057,Mobile Service Point 022,Near water booster pumping station Delhi jal Boad block G sector 15 Rohini Delhi-110085,,"Near water booster pumping station Delhi jal Boad block G sector 15 Rohini Delhi-110085, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0058,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_023_0058,Mobile Service Point 023,"Sai Chowk RWA, Pocket E Near Canara bank,Mayur Vihar, Phase-2 Delhi-110091",,"Sai Chowk RWA, Pocket E Near Canara bank,Mayur Vihar, Phase-2 Delhi-110091, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0059,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_024_0059,Mobile Service Point 024,"Glaxo Apartment Main Gate, Mayur Vihar Phase-I, Delhi-91",,"Glaxo Apartment Main Gate, Mayur Vihar Phase-I, Delhi-91, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0060,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_025_0060,Mobile Service Point 025,"Near Tikona Park, Main Market , opp. House No. 9/37 and 15/27, Subhash Nagar, New Delhi",,"Near Tikona Park, Main Market , opp. House No. 9/37 and 15/27, Subhash Nagar, New Delhi, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0061,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_026_0061,Mobile Service Point 026,"Near Deendayal Hospital and Swargasram MIG flats, Mayapuri, New Delhi",,"Near Deendayal Hospital and Swargasram MIG flats, Mayapuri, New Delhi, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0062,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_027_0062,Mobile Service Point 027,"South Delhi Municipal Corporation office, E-24 Greater Kailash, New Delhi-110048",,"South Delhi Municipal Corporation office, E-24 Greater Kailash, New Delhi-110048, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0063,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_028_0063,Mobile Service Point 028,"A- Block Quarter Pandara Road, New Delhi",,"A- Block Quarter Pandara Road, New Delhi, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0064,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_029_0064,Mobile Service Point 029,"Snatan Dharam Mandir, Ambika Vihar, Near Paschim Vihar, New Delhi",,"Snatan Dharam Mandir, Ambika Vihar, Near Paschim Vihar, New Delhi, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0065,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_030_0065,Mobile Service Point 030,"Near Telephone Exchange, Sunder Vihar, New Delhi",,"Near Telephone Exchange, Sunder Vihar, New Delhi, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0066,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_031_0066,Mobile Service Point 031,"Near Palam Vihar Village, Dwarka, Palam Vihar, New Delhi.",,"Near Palam Vihar Village, Dwarka, Palam Vihar, New Delhi., India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0067,operations__schedule_and_points_of_mobile_van.html,dpl_mobile_service_point_032_0067,Mobile Service Point 032,"Near Guru Ram Dass Public Middle School and Gurudwara, Tagore Garden, New Delhi-27",,"Near Guru Ram Dass Public Middle School and Gurudwara, Tagore Garden, New Delhi-27, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
