year,code,head,page,dept,dept_name,raw_line
2019-20-EN,86269,70:20:10 SCHEME ROAD CONTRIB (cap inc),289,381,"ROADS,STREETS, PAVEMENTS",721.98 521.91 600.00 86269 INCOME UNDER 70:20:10 GRANT SCHEME CONTRI. ROAD 650.00 650.00 650.00 0.00
2019-20-EN,86275,ROAD AT 80:20 SCHEME (cap inc),290,381,"ROADS,STREETS, PAVEMENTS",14.23 3.86 0.00 86275 ROAD AT 80:20 SCHEME 0.00 0.00 0.00 0.00
2019-20-EN,DEPT381,DEPT TOTAL,290,381,"ROADS,STREETS, PAVEMENTS 650.00 650.00 650.00 735.11 525.77 ","381 ROADS,STREETS, PAVEMENTS 650.00 650.00 650.00 735.11 525.77 0.00 600.00"
2019-20-EN,DEPT967,DEPT TOTAL,290,967,JNNURM PROJECT 100.00 100.00 100.00 1222.12 -911.90 0.00 595,967 JNNURM PROJECT 100.00 100.00 100.00 1222.12 -911.90 0.00 595.00
2020-21-EN,23306,PENALTY RECOVERED FROM CONTRACTORS (rev inc),200,111,FINANCE DEPARTMENT,0.78 6.70 1.50 23306 PENALTY RECOVERED FROM CONTRACTORS 1.00 1.00 1.00 1.00
2020-21-EN,23306,PENALTY RECOVERED FROM CONTRACTORS (rev inc),202,153,CENTRAL WORKSHOP/MECHANICAL STORES,4.32 5.63 15.00 23306 PENALTY RECOVERED FROM CONTRACTOR S 10.00 10.00 10.00 10.00
2020-21-EN,23306,PENALTY RECOVERED FROM CONTRACTORS (rev inc),204,211,ESTATE AND CITY IMPROVEMENT DEPT,0.00 0.00 2.50 23306 PENALTY RECOVERED FROM CONTRACTORS 3.00 3.00 3.00 0.00
2020-21-EN,23306,PENALTY RECOVERED FROM CONTRACTORS (rev inc),206,302,LIGHTING DEPARTMENT,3.97 1.06 5.00 23306 PENALTY RECOVERED FROM CONTRACTORS 5.00 5.00 5.00 5.00
2020-21-EN,23306,PENALTY RECOVERED FROM CONTRACTORS (rev inc),206,304,COMMUNICATION DEPTT.,0.00 0.00 2.00 23306 PENALTY RECOVERED FROM CONTRACTORS 2.00 2.00 2.00 1.00
2020-21-EN,23306,PENALTY RECOVERED FROM CONTRACTORS (rev inc),207,352,GARBAGE DISPOSAL,213.70 318.69 500.00 23306 PENALTY RECOVERED FROM CONTR ACTORS 500.00 500.00 500.00 500.00
2020-21-EN,23306,PENALTY RECOVERED FROM CONTRACTORS (rev inc),208,371,ENGG.DEPT. GENERAL SUPERVISION,453.66 1466.55 1500.00 23306 PENALTY RECOVERED FROM CON TRACTORS 2016.00 2016.00 2016.00 1680.00
2020-21-EN,23311,COST OF WORK DONE ON CAPITAL A/C LSR (rev inc),208,371,ENGG.DEPT. GENERAL SUPERVISION,2381.45 1980.15 2500.00 23311 COST OF WORK DONE ON CAPI TAL A/C (L.S.R.) 3000.00 3000.00 3000.00 5500.00
2020-21-EN,DEPT371,DEPT TOTAL,208,371,ENGG.DEPT. GENERAL SUPERVISION 8940.96 8940.96 8940.964119.1,371 ENGG.DEPT. GENERAL SUPERVISION 8940.96 8940.96 8940.964119.17 4880.77 10706.80 7241.80
2020-21-EN,10301,"VEHICLE TAX (rev inc, dept 381)",208,381,"ROADS,STREETS, PAVEMENTS",9485.13 9177.30 9500.00 10301 VEHICLE TAX 12500.00 12450.00 12450.00 11439.26
