Name of Ground,Location,Area in Sq. Mtr,Circle ,Zone
Journalist Co-Op. Hs. No.II,Near TNN News Channel,175,10,Central Zone
Sharada Nagar,Near Tallagadda Stadium,1000,7,Central Zone
Jam Bagh Gym,Near Telephone Exchange,135,8,Central Zone
Md Line,Near Towlichowki,375,7,Central Zone
Nehru Nagar,"Near Ward Office, GHMC",3420,9,Central Zone
Hindi Nagar,Near Water Tank,1860,8,Central Zone
Beside Pedamma Temple,Near jubilee Hills,600,10,Central Zone
Chenna Reddy Nagar,Near temple,228,9,Central Zone
MCH Play Ground Chappal Bazar,"Nehru High School, Kubdiguda.",794.6,9,Central Zone
Rehmath Nagar,Opp Bustop,160,10,Central Zone
Shan Bagh,Opp CM Camp office,660,10,Central Zone
Madhura Nagar I,Opp Community Hall,1575,10,Central Zone
Sunder Nagar Playground,Opp Erragadda Mental Honpital,330,10,Central Zone
Ashta Laxmi Temple Backside,Opp Labour Office Chikkadpally,414,9,Central Zone
CIB Quarters Chintal Basthi,Opp Mahavir Hospital,1000,7,Central Zone
Laxmi Narasimha Nagar,Opp Sai Ram appt,546,10,Central Zone
Davarakonda Nagar,Opp Sultan Ul Uloom College,615,10,Central Zone
"M/S Narang Rd No.3, Banjara Hills",Opp Tv9 Office,150,10,Central Zone
"Venkatagiri, Yousufguda",Opp Water Works,210,10,Central Zone
Sanath Nagar Pg (Opp.Swimming Pool),Opp. Bus Stop lane,8296,10,Central Zone
Sri Krishna Nagar,Opp. Bus Stop lane,399,10,Central Zone
Surya Nagar I,Opp. Galaxy Theater,11413,10,Central Zone
Durga Nagar Colony,Opp. Kummari Basthi,900,10,Central Zone
"Nishabagh, 6-3-1111, Begumpet",Opp. Life Style,750,10,Central Zone
Khairatabad CIB Qtrs,Opp. Meera Theater,713,10,Central Zone
Victory Play Ground,Opp. Sai Baba Temple Chaderghat,4312,8,Central Zone
Sanath Nagar H.No.1165 Srt,Opp. Shivaji Statue,261,10,Central Zone
Sanath Nagar H.No.963 Srt,Opp. Shivaji Statue,279,10,Central Zone
Padma Nabha Nagar,Padmanabha Nagar Colony,1000,7,Central Zone
Patel Nagar,Patel Nagar,180,9,Central Zone
Prem Nagar Playground,Prem Nagar ,391,9,Central Zone
Prem Nagar Park / Playground,Prem Nagar ,572,9,Central Zone
"Naavodaya Co-Op. H.S., Y.Guda",RV Quarters opp,300,10,Central Zone
Hari Nagar,Ram Nagar,221,9,Central Zone
Yousufguda-I,Ratnadeep Super market Opp.,1320,10,Central Zone
Kamalapuri Colony Playground,Sai Baba Temple Lane,1702,10,Central Zone
Srinivas Colony D Type,Sarathi Studio Opp Lane,900,10,Central Zone
Model Colony ,Shamalkunta Park Opp,500,10,Central Zone
