source_record_id,source_file,source_url,library_id,name,normalized_name,location_type,zone,address,latitude,longitude,coordinate_source,map_url,geocode_status,confidence,notes
dpl_location_0038,operations__schedule_and_points_of_mobile_van.html,https://dpl.gov.in/index.php/mobile-library-services/2-uncategorised/63-schedule-and-points-of-mobile-van,dpl_mobile_service_point_003_0038,Mobile Service Point 003,mobile service point 003,mobile_service_point,mobile,"DDA Flats, Near Batra Cinema, Mukherji Nagar, Delhi",,,,,needs_geocode,medium,DPL-published mobile service point address; coordinate requires geocoding.
dpl_location_0039,operations__schedule_and_points_of_mobile_van.html,https://dpl.gov.in/index.php/mobile-library-services/2-uncategorised/63-schedule-and-points-of-mobile-van,dpl_mobile_service_point_004_0039,Mobile Service Point 004,mobile service point 004,mobile_service_point,mobile,"Near Shalimar Park, Main Road, Model Town Pt-II, Delhi",,,,,needs_geocode,medium,DPL-published mobile service point address; coordinate requires geocoding.
dpl_location_0040,operations__schedule_and_points_of_mobile_van.html,https://dpl.gov.in/index.php/mobile-library-services/2-uncategorised/63-schedule-and-points-of-mobile-van,dpl_mobile_service_point_005_0040,Mobile Service Point 005,mobile service point 005,mobile_service_point,mobile,"Arya Samaj Road, B-Block, Near Meerut Sweets, Main Road, Majlis Park, Delhi-33",,,,,needs_geocode,medium,DPL-published mobile service point address; coordinate requires geocoding.
dpl_location_0041,operations__schedule_and_points_of_mobile_van.html,https://dpl.gov.in/index.php/mobile-library-services/2-uncategorised/63-schedule-and-points-of-mobile-van,dpl_mobile_service_point_006_0041,Mobile Service Point 006,mobile service point 006,mobile_service_point,mobile,"Opp. Amar Farm, East Gokul Pur, Delhi",,,,,needs_geocode,medium,DPL-published mobile service point address; coordinate requires geocoding.
dpl_location_0042,operations__schedule_and_points_of_mobile_van.html,https://dpl.gov.in/index.php/mobile-library-services/2-uncategorised/63-schedule-and-points-of-mobile-van,dpl_mobile_service_point_007_0042,Mobile Service Point 007,mobile service point 007,mobile_service_point,mobile,"Opp.Tyagi Dairy, Mandoli Road, Ashok Nagar, Delhi-94",,,,,needs_geocode,medium,DPL-published mobile service point address; coordinate requires geocoding.
dpl_location_0043,operations__schedule_and_points_of_mobile_van.html,https://dpl.gov.in/index.php/mobile-library-services/2-uncategorised/63-schedule-and-points-of-mobile-van,dpl_mobile_service_point_008_0043,Mobile Service Point 008,mobile service point 008,mobile_service_point,mobile,"Residential Quarter, Z Block (4 Storeyed Quarter), Timar Pur, Delhi-54",,,,,needs_geocode,medium,DPL-published mobile service point address; coordinate requires geocoding.
dpl_location_0044,operations__schedule_and_points_of_mobile_van.html,https://dpl.gov.in/index.php/mobile-library-services/2-uncategorised/63-schedule-and-points-of-mobile-van,dpl_mobile_service_point_009_0044,Mobile Service Point 009,mobile service point 009,mobile_service_point,mobile,"Delhi Administrative Colony, Timar Pur, Delhi-54",,,,,needs_geocode,medium,DPL-published mobile service point address; coordinate requires geocoding.
dpl_location_0045,operations__schedule_and_points_of_mobile_van.html,https://dpl.gov.in/index.php/mobile-library-services/2-uncategorised/63-schedule-and-points-of-mobile-van,dpl_mobile_service_point_010_0045,Mobile Service Point 010,mobile service point 010,mobile_service_point,mobile,"Near Bloom Field Public School, DDA Flats, Dilshad Garden, Delhi-93",,,,,needs_geocode,medium,DPL-published mobile service point address; coordinate requires geocoding.
dpl_location_0046,operations__schedule_and_points_of_mobile_van.html,https://dpl.gov.in/index.php/mobile-library-services/2-uncategorised/63-schedule-and-points-of-mobile-van,dpl_mobile_service_point_011_0046,Mobile Service Point 011,mobile service point 011,mobile_service_point,mobile,"Near Sports Complex, Janta Flats, Guru Teg Bahadur Enclave, Delhi-93",,,,,needs_geocode,medium,DPL-published mobile service point address; coordinate requires geocoding.
dpl_location_0047,operations__schedule_and_points_of_mobile_van.html,https://dpl.gov.in/index.php/mobile-library-services/2-uncategorised/63-schedule-and-points-of-mobile-van,dpl_mobile_service_point_012_0047,Mobile Service Point 012,mobile service point 012,mobile_service_point,mobile,"Near Rath Wala Mandir, Main Road, Yamuna Vihar, Delhi-53",,,,,needs_geocode,medium,DPL-published mobile service point address; coordinate requires geocoding.
